gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
rage mobility 128 agp 4x,2024.0,480.0,1.68,1250.0,50.0,8.0,250.0,70.0,600000.0,223880.59701492538,11764.70588235294,0.11267605633802817,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage mobility cl,2024.0,480.0,560.0,1250.0,50.0,4.0,350.0,70.0,600000.0,1069.51871657754,11764.70588235294,0.056338028169014086,1.6094379124341003,3.3314383390085567,-0.07630918228861328
rage mobility m,2024.0,480.0,560.0,1250.0,50.0,4.0,350.0,70.0,600000.0,1069.51871657754,11764.70588235294,0.056338028169014086,1.6094379124341003,3.3314383390085567,-0.07630918228861328
rage mobility m1,2024.0,480.0,1.0,1250.0,50.0,8.0,250.0,70.0,600000.0,300000.0,11764.70588235294,0.11267605633802817,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage mobility m3,2024.0,480.0,840.0,1250.0,50.0,8.0,250.0,70.0,600000.0,713.436385255648,11764.70588235294,0.11267605633802817,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage mobility m4,2024.0,480.0,840.0,1250.0,50.0,8.0,250.0,70.0,600000.0,713.436385255648,11764.70588235294,0.11267605633802817,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage mobility p,2024.0,480.0,560.0,1250.0,50.0,4.0,350.0,70.0,600000.0,1069.51871657754,11764.70588235294,0.056338028169014086,1.6094379124341003,3.3314383390085567,-0.07630918228861328
rage xl pci,2024.0,480.0,332.0,1250.0,50.0,8.0,350.0,47.0,600000.0,1801.8018018018017,11764.70588235294,0.16666666666666666,2.1972245773362196,3.3314383390085567,-0.07630918228861328
i752,2024.0,480.0,1.064,1250.0,50.0,29.0,150.0,154.0,600000.0,290697.67441860464,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
i810 graphics,2024.0,480.0,40.0,1250.0,50.0,29.0,150.0,154.0,600000.0,14634.146341463415,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
marvel g400 tv,2024.0,480.0,2.656,1250.0,50.0,10.0,250.0,154.0,600000.0,164113.78555798688,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
millennium g200a,2024.0,480.0,896.0,1250.0,50.0,10.0,250.0,154.0,600000.0,668.8963210702341,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
millennium g250,2024.0,480.0,1.024,1250.0,50.0,10.0,250.0,154.0,600000.0,296442.6877470356,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
