gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size
hd 6790,,800.0,134.4,1250.0,150.0,1.0,40.0,255.0
hd 6830m,,800.0,25.6,1250.0,39.0,1.0,40.0,166.0
hd 6850 x2,,960.0,134.4,1250.0,254.0,1.0,40.0,255.0
hd 6850m,,800.0,25.6,1250.0,50.0,1.0,40.0,166.0
hd 6870 x2,,1120.0,134.4,1250.0,300.0,1.0,40.0,255.0
hd 6870m,,800.0,64.0,1250.0,50.0,1.0,40.0,166.0
hd 6930,,1280.0,153.6,1250.0,186.0,2.0,40.0,389.0
hd 6950m,,960.0,115.2,1250.0,50.0,1.0,40.0,212.0
hd 6970m,,960.0,115.2,1250.0,75.0,1.0,40.0,212.0
hd 6970m mac edition,,960.0,115.2,1250.0,75.0,1.0,40.0,212.0
hd 6970m rebrand,,800.0,64.0,1250.0,75.0,1.0,40.0,166.0
hd 6970m x2,,960.0,115.2,1250.0,150.0,1.0,40.0,212.0
hd 6990,,1536.0,160.0,1250.0,375.0,2.0,40.0,389.0
hd 6990m,,1120.0,115.2,1250.0,100.0,1.0,40.0,212.0
hd 6990m rebrand,,800.0,64.0,1250.0,100.0,1.0,40.0,166.0
hd 7410m,,160.0,12.8,1250.0,50.0,370.0,40.0,67.0
hd 7690m,,480.0,28.8,1250.0,20.0,716.0,40.0,118.0
firepro a300,,384.0,40.0,905.0,65.0,1.0,32.0,246.0
firepro a320,,384.0,40.0,955.0,100.0,1.0,32.0,246.0
firepro m2000,,480.0,25.6,1250.0,33.0,716.0,40.0,118.0
firepro m4000,,512.0,64.0,1250.0,33.0,1.0,28.0,123.0
firepro m6000,,640.0,64.0,1250.0,43.0,1.0,28.0,123.0
firepro s10000,,1792.0,240.0,950.0,375.0,4.0,28.0,352.0
firepro s10000 passive,,1792.0,240.0,950.0,375.0,4.0,28.0,352.0
firepro s7000,,1280.0,153.6,1250.0,150.0,2.0,28.0,212.0
firepro s9000,,1792.0,264.0,1250.0,225.0,4.0,28.0,352.0
firepro s9010,,1792.0,240.0,1250.0,200.0,4.0,28.0,352.0
firepro v3900,,480.0,28.8,1250.0,50.0,716.0,40.0,118.0
firepro w4000,,768.0,102.4,1250.0,75.0,2.0,28.0,212.0
firepro w5000,,768.0,102.4,1250.0,75.0,2.0,28.0,212.0
firepro w600,,512.0,64.0,1250.0,75.0,1.0,28.0,123.0
firepro w7000,,1280.0,153.6,1250.0,150.0,2.0,28.0,212.0
firepro w8000,,1792.0,176.0,1250.0,225.0,4.0,28.0,352.0
firepro w9000,,2048.0,264.0,1250.0,274.0,4.0,28.0,352.0
hd 6250 igp,,80.0,40.0,1250.0,7.0,450.0,40.0,75.0
hd 6250 igp,,80.0,40.0,1250.0,9.0,450.0,40.0,75.0
hd 6850 1440sp edition,,1440.0,128.0,1250.0,151.0,2.0,40.0,334.0
hd 7290 igp,,80.0,40.0,1250.0,18.0,450.0,40.0,75.0
hd 7310 igp,,80.0,40.0,1250.0,18.0,450.0,40.0,75.0
hd 7330m,,80.0,8.0,1250.0,5.0,292.0,40.0,59.0
hd 7340 igp,,80.0,40.0,1250.0,18.0,450.0,40.0,75.0
hd 7350 oem,,80.0,12.8,1250.0,19.0,292.0,40.0,59.0
hd 7350 oem pci,,80.0,8.0,1250.0,19.0,292.0,40.0,59.0
hd 7350m,,80.0,8.0,1250.0,7.0,292.0,40.0,59.0
hd 7370m,,80.0,12.8,1250.0,11.0,292.0,40.0,59.0
hd 7400g igp,,192.0,40.0,424.0,17.0,1.0,32.0,246.0
hd 7420g igp,,128.0,40.0,655.0,35.0,1.0,32.0,246.0
hd 7430m,,160.0,12.8,1250.0,7.0,370.0,40.0,67.0
hd 7450 oem,,160.0,8.528,1250.0,18.0,370.0,40.0,67.0
hd 7450a,,160.0,12.8,1250.0,25.0,370.0,40.0,67.0
hd 7450m,,160.0,14.4,1250.0,7.0,370.0,40.0,67.0
hd 7470 oem,,160.0,28.8,1250.0,27.0,370.0,40.0,67.0
hd 7470a,,160.0,12.8,1250.0,25.0,370.0,40.0,67.0
hd 7470a,,400.0,12.8,1250.0,18.0,627.0,40.0,104.0
hd 7470m,,160.0,14.4,800.0,25.0,370.0,40.0,67.0
hd 7480d igp,,128.0,40.0,1250.0,65.0,1.0,32.0,246.0
